ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
510050.SH,20200622,2.927,2.927,2.95,2.914,2.924,-0.003,-0.1025,2950886.52,864848.195
510050.SH,20200619,2.895,2.892,2.938,2.89,2.927,0.032,1.1054,3432000.99,1001206.31
510050.SH,20200618,2.881,2.872,2.896,2.86,2.895,0.014,0.4859,3308400.64,952211.486
510050.SH,20200617,2.877,2.876,2.882,2.863,2.881,0.004,0.139,2193333.76,630269.426
510050.SH,20200616,2.847,2.867,2.879,2.862,2.877,0.03,1.0537,2322299.08,667331.714
510050.SH,20200615,2.891,2.868,2.876,2.841,2.847,-0.044,-1.522,2175222.87,621662.537
510050.SH,20200612,2.878,2.847,2.893,2.841,2.891,0.013,0.4517,2073557.86,594727.513
510050.SH,20200611,2.908,2.9,2.91,2.87,2.878,-0.03,-1.0316,2271380.05,655835.377
510050.SH,20200610,2.923,2.923,2.923,2.904,2.908,-0.015,-0.5132,1458401.48,424505.141
510050.SH,20200609,2.905,2.908,2.926,2.902,2.923,0.018,0.6196,2348824.99,685717.528
510050.SH,20200608,2.892,2.897,2.92,2.897,2.905,0.013,0.4495,2661520.97,774025.199
510050.SH,20200605,2.878,2.88,2.895,2.867,2.892,0.014,0.4864,1625445.19,467610.234
510050.SH,20200604,2.884,2.897,2.898,2.873,2.878,-0.006,-0.208,1903740.93,548400.159
510050.SH,20200603,2.879,2.895,2.919,2.883,2.884,0.005,0.1737,3965363.23,1149516.473
510050.SH,20200602,2.864,2.859,2.888,2.857,2.879,0.015,0.5237,2591344.05,744612.641
510050.SH,20200601,2.802,2.83,2.869,2.828,2.864,0.062,2.2127,3600437.06,1028020.131
510050.SH,20200529,2.801,2.78,2.809,2.78,2.802,0.001,0.0357,2499406.04,699483.316
510050.SH,20200528,2.792,2.79,2.826,2.777,2.801,0.009,0.3223,3448192.53,966734.155
510050.SH,20200527,2.802,2.803,2.808,2.784,2.792,-0.01,-0.3569,2447969.71,683801.179
510050.SH,20200526,2.78,2.793,2.803,2.787,2.802,0.022,0.7914,4514929.25,1262110.4
510050.SH,20200525,2.768,2.77,2.782,2.756,2.78,0.012,0.4335,2751892.75,763102.821
510050.SH,20200522,2.838,2.83,2.832,2.766,2.768,-0.07,-2.4665,5263931.0,1467875.067
510050.SH,20200521,2.849,2.854,2.86,2.836,2.838,-0.011,-0.3861,2664746.98,758827.461
510050.SH,20200520,2.852,2.852,2.859,2.843,2.849,-0.003,-0.1052,2649677.71,755369.257
510050.SH,20200519,2.833,2.855,2.865,2.847,2.852,0.019,0.6707,2615124.71,746375.063
510050.SH,20200518,2.812,2.81,2.842,2.81,2.833,0.021,0.7468,3245523.88,918839.506
510050.SH,20200515,2.831,2.835,2.844,2.81,2.812,-0.019,-0.6711,3609346.63,1019270.555
510050.SH,20200514,2.86,2.85,2.85,2.828,2.831,-0.029,-1.014,2381014.0,675347.177
510050.SH,20200513,2.86,2.852,2.863,2.839,2.86,0.0,0.0,1293507.69,368743.861
510050.SH,20200512,2.863,2.86,2.872,2.85,2.86,-0.003,-0.1048,2760439.53,789534.562
510050.SH,20200511,2.863,2.865,2.89,2.856,2.863,0.0,0.0,3178490.95,913101.069
510050.SH,20200508,2.843,2.858,2.876,2.851,2.863,0.02,0.7035,2590227.38,741884.562
510050.SH,20200507,2.848,2.845,2.85,2.833,2.843,-0.005,-0.1756,2174515.85,617648.44
510050.SH,20200506,2.852,2.82,2.853,2.811,2.848,-0.004,-0.1403,3094268.48,875418.571
510050.SH,20200430,2.829,2.838,2.87,2.833,2.852,0.023,0.813,2623122.38,748633.614
510050.SH,20200429,2.81,2.804,2.837,2.801,2.829,0.019,0.6762,3204384.12,904967.245
510050.SH,20200428,2.79,2.797,2.817,2.768,2.81,0.02,0.7168,3156899.7,884392.07
510050.SH,20200427,2.765,2.768,2.804,2.768,2.79,0.025,0.9042,4702762.94,1313548.232
510050.SH,20200424,2.787,2.775,2.776,2.759,2.765,-0.022,-0.7894,2567856.0,709988.734
510050.SH,20200423,2.79,2.795,2.807,2.782,2.787,-0.003,-0.1075,2661707.05,743377.532
510050.SH,20200422,2.771,2.763,2.791,2.755,2.79,0.019,0.6857,3434283.12,952132.027
510050.SH,20200421,2.803,2.797,2.798,2.756,2.771,-0.032,-1.1416,2966626.05,821914.114
510050.SH,20200420,2.793,2.797,2.807,2.784,2.803,0.01,0.358,2891718.83,808721.479
510050.SH,20200417,2.753,2.775,2.811,2.767,2.793,0.04,1.453,5300096.21,1479444.368
510050.SH,20200416,2.751,2.742,2.757,2.74,2.753,0.002,0.0727,2345026.41,644853.519
510050.SH,20200415,2.771,2.766,2.775,2.75,2.751,-0.02,-0.7218,3031442.11,836605.914
510050.SH,20200414,2.726,2.743,2.771,2.734,2.771,0.045,1.6508,3425698.95,943543.428
510050.SH,20200413,2.738,2.731,2.735,2.719,2.726,-0.012,-0.4383,2683956.56,732041.641
