职位名称,公司名称,工作地点,薪资,发布时间
java人工智能（python)开发签约实习生,青岛迈科思软件有限责任公司,青岛,4.5-6千/月,06-25
python工程师/实习生,青岛垚盛鑫互联网科技有限公司,青岛-市南区,4.5-6千/月,06-24
高薪诚聘Python开发工程师+可带薪培养,青岛乾璟昶盛信息服务有限公司,青岛-市北区,4.5-6千/月,06-24
java人工智能（python)签约实习生,青岛青软科技有限公司,青岛-市南区,4.5-6千/月,06-24
Java、python高级工程师,中冶东方工程技术有限公司,青岛,0.8-1.5万/月,06-24
Python开发工程师,青岛工业软件研究所,青岛-高新区,0.6-1万/月,06-24
Python开发工程师（黄岛区）,青岛艾德软件有限公司,青岛-黄岛区,0.5-1万/月,06-24
Python开发工程师,北京值得买科技股份有限公司青岛分...,青岛-市北区,0.8-1.5万/月,06-23
Python后端开发工程师,青岛思普润水处理股份有限公司,青岛-黄岛区,1.5-2.5万/月,06-16
Python开发工程师,青岛绿洲创智科技信息有限公司,青岛-崂山区,0.8-1万/月,05-27
Python开发工程师,青岛容商天下网络有限公司,青岛-即墨区,0.6-1.2万/月,05-21
Python开发工程师,青岛贝塔信息技术有限公司,青岛-崂山区,0.8-1.2万/月,05-17
python爬虫/数据开发,青岛七十二度信息技术有限公司,青岛-黄岛区,4-8千/月,05-07
大数据分析工程师（博士招聘）(J22297),海信网络科技公司,青岛-崂山区,,06-25
上位机软件开发工程师,斯图加特航空自动化（青岛）有限公...,青岛-黄岛区,1-1.5万/月,06-25
大数据工程师,海尔,青岛,20-30万/年,06-25
环境监测数据分析工程师（五险一金+周末双休）,青岛森天环境科技有限公司,青岛-黄岛区,6-8千/月,06-25
对日软件工程师2020年招聘,南京机蜂信息科技有限公司,异地招聘,2-5万/月,06-25
ERP运维工程师,青岛海泰新光科技股份有限公司,青岛,4-8千/月,06-25
智能化和信息化会计教师,青岛理工大学琴岛学院,青岛,4-8千/月,06-24
数据分析师（BI方向）,字节跳动,青岛,0.6-1.2万/月,06-24
测试工程师（研发部）,青岛元启智能机器人科技有限公司,青岛-李沧区,6-8千/月,06-24
大数据分析经理,青岛九州物资有限公司,青岛-李沧区,20-30万/年,06-24
软件测试工程师,云计划软件科技（上海）有限公司,青岛-崂山区,6-8千/月,06-24
应用运维工程师,青岛博厚医疗管理股份有限公司,青岛-崂山区,0.7-1.2万/月,06-24
Linux运维工程师,青岛酷特智能股份有限公司,青岛-即墨区,0.5-1万/月,06-24
大数据开发 带新实习,青岛大红薯信息技术有限公司,青岛-市北区,0.8-1万/月,06-24
Webgis工程师,青岛星科瑞升信息科技有限公司,青岛-黄岛区,5-8千/月,06-24
软件工程师,青岛雅斯医疗器械有限公司,青岛,0.6-1.2万/月,06-24
软件开发项目经理,青岛衡展数据技术有限公司,青岛-市北区,1.2-1.8万/月,06-24
后端开发工程师,青岛池华电气科技有限公司,青岛-李沧区,1-1.2万/月,06-24
机器人导航算法工程师,青岛新松机器人自动化有限公司,青岛-高新区,0.6-1万/月,06-24
海洋模拟开发工程师,青岛南森海洋科技有限公司,青岛-市南区,1-1.5万/月,06-24
无人驾驶研发工程师,青岛悟牛智能科技有限公司,青岛-高新区,0.6-1.2万/月,06-24
机器视觉算法工程师,青岛小优智能科技有限公司,青岛-高新区,0.8-1.2万/月,06-24
高级算法研发专家,聚好看科技股份有限公司,青岛-崂山区,1.5-3万/月,06-24
运维工程师,青岛聚好联科技有限公司,青岛,12-18万/年,06-24
日企高级运维工程师(编号119516),上海艾杰飞人力资源有限公司,青岛,0.8-1.5万/月,06-24
遥感开发工程师,青岛浩海网络科技股份有限公司,青岛,0.8-1.2万/月,06-24
软件开发工程师（长期日本出差）,赛伯尔（大连）信息技术咨询有限公...,异地招聘,1.5-4万/月,06-24
深度学习工程师实习生,山东中达信通智能科技有限公司,青岛-李沧区,4.5-6千/月,06-24
软件技术顾问,青岛儒商信息技术有限公司,青岛,1-1.5万/月,06-24
芯片验证工程师（2020年硕士毕业生）,山东方寸微电子科技有限公司,青岛-崂山区,0.9-1.2万/月,06-24
DBA结构与设计,青岛领越企业信息咨询有限公司,青岛-市北区,4.5-6千/月,06-24
ui开发工程师,青岛伟东云教育集团有限公司,青岛-即墨区,1-1.2万/月,06-24
网络运维工程师,青岛新范式信息技术有限公司,青岛-李沧区,0.7-1.2万/月,06-24
项目助理实习,青岛青一融创旅游文化管理有限公司...,青岛-市北区,3-4.5千/月,06-24
在线辅导/海外在线tutor,方圆天下（深圳）科技有限公司,异地招聘,180元/小时,06-24
图像算法工程师实习生,青岛云智环境数据管理有限公司,青岛-高新区,150元/天,06-24
图像算法工程师实习生,青岛清数生态文明研究院有限公司,青岛-高新区,150元/天,06-24
大数据讲师 周末双休 五险一金,青岛英谷教育科技股份有限公司,青岛-崂山区,0.8-1万/月,06-24
无人驾驶控制系统研发工程师,青岛悟牛智能科技有限公司,青岛-城阳区,0.5-1万/月,06-24
B2B-用户增长（数据）,海尔卡奥斯物联生态科技有限公司,青岛-李沧区,0.8-1万/月,06-23
运维工程师,万达信息股份有限公司,青岛-崂山区,6-8千/月,06-23
IT专员,青岛惠陆有机硅有限公司,青岛-黄岛区,4-5千/月,06-23
对日开发软件工程师Java实习,大连华小讯科技有限公司,异地招聘,2.5-3万/月,06-23
大数据实训生,青岛万海舜耕文化传播有限公司,青岛-市北区,4.5-6千/月,06-23
Analog高级工程师,合肥智芯半导体有限公司,异地招聘,3-4万/月,06-23
少儿机器人编程老师,青岛智合创邦教育科技有限公司,青岛-黄岛区,0.5-1万/月,06-23
高级测试软件工程师,小派科技（上海）有限责任公司,青岛-崂山区,1.5-2万/月,06-23
安全服务工程师（实习）,山东华鲁科技发展股份有限公司,异地招聘,3-4.5千/月,06-23
数据分析岗,金鼓新生（天津）融资租赁有限公司...,青岛-崂山区,4.5-7千/月,06-22
PHM技术研究,国家高速列车青岛技术创新中心,青岛-城阳区,1.2-2.5万/月,06-22
大数据算法工程师,青岛四机设备工程有限公司,青岛-市北区,1-1.5万/月,06-22
软件工程师,青岛华涛汽车模具有限公司,青岛-城阳区,15-20万/年,06-21
深度学习算法工程师,青岛恒拓环保科技有限公司,青岛-高新区,1.5-2万/月,06-21
AI投资基金经理（实习、培训生）,深圳市金牛投资（集团）有限公司,异地招聘,1-1.5万/月,06-20
数据开发工程师,杭州数美科技有限公司,青岛,1.2-1.4万/月,06-19
Android开发工程师,青岛蓝桥信息技术有限公司,青岛-崂山区,0.8-1.3万/月,06-19
应用系统与数据库开发及管理主任,威海金诺机电有限公司,青岛,0.8-1万/月,06-19
运维工程师,中瑞集团,青岛-李沧区,5-8千/月,06-19
大数据开发工程师,山东慈云信息科技有限公司,青岛-李沧区,5-8千/月,06-19
功能测试工程师,特来电新能源有限公司,青岛-崂山区,0.8-1.3万/月,06-18
遥感应用工程师,长光禹辰信息技术与装备（青岛）有...,青岛-城阳区,0.7-1.2万/月,06-17
运维工程师,青岛易联互动网络科技有限公司,青岛-市北区,5-8千/月,06-17
大数据全栈工程师,青岛安铭信息科技有限公司,青岛-市南区,1.5-2.5万/月,06-16
商业分析师,优创（青岛）数据技术有限公司,青岛-市南区,0.8-1.5万/月,06-16
算法工程师,深圳华大智造科技有限公司,青岛-黄岛区,1.5-2.5万/月,06-15
诚聘论文写作工科理科文科写手,黄石众诚文化传媒有限公司,异地招聘,1000元/天,06-15
算法工程师,青岛沃邦双创孵化器有限公司,青岛-黄岛区,1-1.5万/月,06-15
高级运维工程师,青岛青软实训教育科技股份有限公司...,青岛,0.8-1万/月,06-13
大数据开发带薪实习,青岛快时代传媒科技有限公司,青岛-市北区,6-8千/月,06-12
高级研发工程师,青岛海天炜业过程控制技术股份有限...,青岛-崂山区,0.8-1.5万/月,06-12
Manufacturing Engineer - CNC Process,埃地沃兹真空泵制造（青岛）有限公...,青岛-城阳区,0.8-1万/月,06-11
区域解决方案总监,北京市商汤科技开发有限公司,异地招聘,3-4.5万/月,06-10
遥感应用开发工程师,山东正元航空遥感技术有限公司,异地招聘,0.8-1万/月,06-08
急聘游戏测试4-6k+周末双休,青岛蜗牛信息技术有限公司,青岛,4-8千/月,06-08
嵌入式软件工程师,日世（中国）投资有限公司,青岛-城阳区,0.5-1万/月,06-07
大数据讲师,国基北盛（南京）科技发展有限公司...,异地招聘,0.8-1万/月,06-06
数据仓库工程师,青岛国合信息科技有限公司,青岛-高新区,1.3-1.5万/月,06-05
Java开发工程师,青岛海龙马电子有限公司,青岛-城阳区,0.4-1万/月,06-02
算法工程师,青岛钢铁侠科技有限公司,青岛-黄岛区,1-1.5万/月,06-02
高薪诚聘远程软件讲师,北京世纪曙光文化传播有限公司,异地招聘,1.5-2万/月,06-01
3D视觉技术专家,深圳慧智星晨科技有限公司,青岛-崂山区,2-4万/月,05-29
软件开发,银联商务股份有限公司青岛分公司,青岛-市南区,0.8-1万/月,05-26
ETL开发工程师,上海芮想信息科技有限公司,青岛-市南区,0.8-1.2万/月,05-23
软件测试工程师,青岛中海智库信息科技有限公司,青岛-市南区,6-8千/月,05-23
算法经理,青岛清原抗性杂草防治有限公司,青岛,1.5-2万/月,05-23
软件开发工程师,赛昇（北京）科技有限公司,青岛-高新区,0.5-1万/月,05-23
莒南驻地医疗软件工程师,北京云之上科技有限公司,异地招聘,3-5千/月,05-23
